None,ticker,Date,Open,High,Low,Close,Volume,Adj_Close
804,AMZN,1/13/2015,297.48,301.4976,293.23,294.74,4136442,294.74
805,AMZN,1/12/2015,297.56,298.51,289.281,291.41,3421392,291.41
806,AMZN,1/9/2015,301.48,302.87,296.68,296.93,2570947,296.93
807,AMZN,1/8/2015,300.32,303.14,296.11,300.46,3088398,300.46
808,AMZN,1/7/2015,297.5,301.28,295.33,298.42,2640349,298.42
809,AMZN,1/6/2015,302.24,303,292.38,295.29,3519034,295.29
810,AMZN,1/5/2015,307.01,308.38,300.85,302.19,2774231,302.19
811,AMZN,1/2/2015,312.58,314.75,306.9601,308.52,2788101,308.52
812,AMZN,12/31/2014,311.55,312.98,310.01,310.35,2057766,310.35
813,AMZN,12/30/2014,309.91,313.94,309.34,310.3,2093023,310.3
814,AMZN,12/29/2014,307.85,314.27,306.58,312.04,3009046,312.04
815,AMZN,12/26/2014,305,310.7799,303.81,309.09,2893801,309.09
816,AMZN,12/24/2014,306.38,307,302.875,303.03,1518107,303.03
817,AMZN,12/23/2014,306.98,307.49,303.252,306.285,2718359,306.285
818,AMZN,12/22/2014,301.94,307.36,301.94,306.54,4003827,306.54
819,AMZN,12/19/2014,296.91,301.54,295.52,299.9,8709129,299.9
820,AMZN,12/18/2014,304.01,304.5,293.25,297.73,7738067,297.73
821,AMZN,12/17/2014,296.37,299.67,293.03,298.88,4433505,298.88
822,AMZN,12/16/2014,304.35,304.49,295.01,295.06,6501252,295.06
823,AMZN,12/15/2014,308.87,310.86,302.15,306.07,3841577,306.07
824,AMZN,12/12/2014,303.99,310.6399,303.01,307.32,3162322,307.32
825,AMZN,12/11/2014,307.89,312.64,306.01,307.36,3272919,307.36
826,AMZN,12/10/2014,312,313.19,304.68,305.84,3245890,305.84
827,AMZN,12/9/2014,302.99,313.639,301.14,312.5,4049506,312.5
828,AMZN,12/8/2014,311.57,316.56,304.821,306.64,3639180,306.64
829,AMZN,12/5/2014,316.8,316.93,310.84,312.63,3265214,312.63
830,AMZN,12/4/2014,315.53,318.59,313.47,316.93,3296642,316.93
831,AMZN,12/3/2014,325.73,326.77,314.36,316.5,5689904,316.5
832,AMZN,12/2/2014,327.5,327.93,323.25,326.31,2790257,326.31
833,AMZN,12/1/2014,338.12,340.64,325.93,326,4944861,326
